,model_name,fold,data_type,criterion,num_trees,run,f1_IAS,f1_SUA,f1_VA,f1_weighted,f1_macro,f1_micro,recall_IAS,recall_SUA,recall_VA,recall_weighted,recall_macro,recall_micro,precision_IAS,precision_SUA,precision_VA,precision_weighted,precision_macro,precision_micro,accuracy
0,Random Forest,0,MultiLabel,log_loss,100,0,0.8070562293274531,0.3508771929824561,0.3850467289719626,0.5611375936615971,0.5143267170939573,0.5930493273542601,0.690566037735849,0.21897810218978103,0.24939467312348668,0.43467543138866066,0.3863129376830389,0.43467543138866066,0.9708222811671088,0.8823529411764706,0.8442622950819673,0.9079546777072909,0.8991458391418489,0.9329805996472663,0.7095709570957096
0,Random Forest,1,MultiLabel,log_loss,100,0,0.8120300751879699,0.39660056657223797,0.41911764705882354,0.5852101977423775,0.5425827629396772,0.6148796498905909,0.711864406779661,0.25547445255474455,0.2753623188405797,0.4610336341263331,0.4142337260583284,0.4610336341263331,0.945,0.8860759493670886,0.8769230769230769,0.9086349171228353,0.9026663420967219,0.922824302134647,0.7252475247524752
0,Random Forest,2,MultiLabel,log_loss,100,0,0.8213903743315508,0.42492917847025496,0.46153846153846156,0.6102141851965157,0.5692860047800892,0.6367081754195993,0.7231638418079096,0.27472527472527475,0.3115942028985507,0.4827586206896552,0.43649443981057834,0.4827586206896552,0.9504950495049505,0.9375,0.8896551724137931,0.9269028018607873,0.9258834073062477,0.9348171701112877,0.7355610561056105
0,Random Forest,3,MultiLabel,log_loss,100,0,0.8150537634408602,0.3872832369942196,0.4088397790055249,0.5807502217310011,0.5370589264802016,0.6124244090159429,0.7150943396226415,0.24452554744525548,0.26811594202898553,0.4573070607553366,0.4092452763656275,0.4573070607553366,0.9475,0.9305555555555556,0.8604651162790697,0.9141049099850224,0.9128402239448752,0.9267886855241264,0.7194719471947195
0,Random Forest,4,MultiLabel,log_loss,100,0,0.8224101479915433,0.3652173913043478,0.37593984962406013,0.5681799952002935,0.5211891296399838,0.605595172792101,0.7325800376647834,0.23076923076923078,0.24154589371980675,0.45320197044334976,0.4016317207179403,0.45320197044334976,0.9373493975903614,0.875,0.847457627118644,0.8928201869848937,0.8866023415696684,0.912396694214876,0.7194719471947195
0,Random Forest,0,MultiLabel,log_loss,100,1,0.8070562293274531,0.3508771929824561,0.3850467289719626,0.5611375936615971,0.5143267170939573,0.5930493273542601,0.690566037735849,0.21897810218978103,0.24939467312348668,0.43467543138866066,0.3863129376830389,0.43467543138866066,0.9708222811671088,0.8823529411764706,0.8442622950819673,0.9079546777072909,0.8991458391418489,0.9329805996472663,0.7095709570957096
0,Random Forest,1,MultiLabel,log_loss,100,1,0.8120300751879699,0.39660056657223797,0.41911764705882354,0.5852101977423775,0.5425827629396772,0.6148796498905909,0.711864406779661,0.25547445255474455,0.2753623188405797,0.4610336341263331,0.4142337260583284,0.4610336341263331,0.945,0.8860759493670886,0.8769230769230769,0.9086349171228353,0.9026663420967219,0.922824302134647,0.7252475247524752
0,Random Forest,2,MultiLabel,log_loss,100,1,0.8213903743315508,0.42492917847025496,0.46153846153846156,0.6102141851965157,0.5692860047800892,0.6367081754195993,0.7231638418079096,0.27472527472527475,0.3115942028985507,0.4827586206896552,0.43649443981057834,0.4827586206896552,0.9504950495049505,0.9375,0.8896551724137931,0.9269028018607873,0.9258834073062477,0.9348171701112877,0.7355610561056105
0,Random Forest,3,MultiLabel,log_loss,100,1,0.8150537634408602,0.3872832369942196,0.4088397790055249,0.5807502217310011,0.5370589264802016,0.6124244090159429,0.7150943396226415,0.24452554744525548,0.26811594202898553,0.4573070607553366,0.4092452763656275,0.4573070607553366,0.9475,0.9305555555555556,0.8604651162790697,0.9141049099850224,0.9128402239448752,0.9267886855241264,0.7194719471947195
0,Random Forest,4,MultiLabel,log_loss,100,1,0.8224101479915433,0.3652173913043478,0.37593984962406013,0.5681799952002935,0.5211891296399838,0.605595172792101,0.7325800376647834,0.23076923076923078,0.24154589371980675,0.45320197044334976,0.4016317207179403,0.45320197044334976,0.9373493975903614,0.875,0.847457627118644,0.8928201869848937,0.8866023415696684,0.912396694214876,0.7194719471947195
0,Random Forest,0,MultiLabel,gini,100,0,0.8432203389830508,0.49222797927461137,0.4631956912028725,0.6352317719384114,0.5995480031535115,0.6592474827768945,0.7509433962264151,0.3467153284671533,0.31234866828087166,0.5110928512736237,0.47000246432481335,0.5110928512736237,0.961352657004831,0.8482142857142857,0.8958333333333334,0.9136456772103051,0.9018000920174835,0.9283582089552239,0.7462871287128713
0,Random Forest,1,MultiLabel,gini,100,0,0.8392484342379958,0.5239294710327456,0.47266313932980597,0.64387213562419,0.6119470148668491,0.6659729448491155,0.7570621468926554,0.3795620437956204,0.32367149758454106,0.5250205086136177,0.4867652294242723,0.5250205086136177,0.9414519906323185,0.8455284552845529,0.8758169934640523,0.8975997039112766,0.887599146460308,0.9103840682788051,0.7524752475247525
